m,n,k,p,algorithm,time,case
16384,16384,16384,128,CARMA [21] ,3161.55,strong
16384,16384,16384,128,CARMA [21] ,3288.012,strong
16384,16384,16384,128,CARMA [21] ,2971.857,strong
16384,16384,16384,256,CARMA [21] ,1709.4,strong
16384,16384,16384,256,CARMA [21] ,1743.5880000000002,strong
16384,16384,16384,256,CARMA [21] ,1572.6480000000001,strong
16384,16384,16384,512,CARMA [21] ,1016.4000000000001,strong
16384,16384,16384,512,CARMA [21] ,1046.892,strong
16384,16384,16384,512,CARMA [21] ,1067.22,strong
16384,16384,16384,1024,CARMA [21] ,607.95,strong
16384,16384,16384,1024,CARMA [21] ,632.268,strong
16384,16384,16384,1024,CARMA [21] ,571.4730000000001,strong
16384,16384,16384,2048,CARMA [21] ,388.5,strong
16384,16384,16384,2048,CARMA [21] ,384.615,strong
16384,16384,16384,2048,CARMA [21] ,415.695,strong
16384,16384,16384,4096,CARMA [21] ,224.70000000000002,strong
16384,16384,16384,4096,CARMA [21] ,233.68800000000002,strong
16384,16384,16384,4096,CARMA [21] ,213.46500000000003,strong
16384,16384,16384,8192,CARMA [21] ,138.6,strong
16384,16384,16384,8192,CARMA [21] ,139.986,strong
16384,16384,16384,8192,CARMA [21] ,146.916,strong
16384,16384,16384,16384,CARMA [21] ,94.5,strong
16384,16384,16384,16384,CARMA [21] ,97.335,strong
16384,16384,16384,16384,CARMA [21] ,101.115,strong
16384,16384,16384,128,ScaLAPACK [51] ,4013,strong
16384,16384,16384,128,ScaLAPACK [51] ,4053.13,strong
16384,16384,16384,128,ScaLAPACK [51] ,3691.96,strong
16384,16384,16384,144,ScaLAPACK [51] ,3322,strong
16384,16384,16384,144,ScaLAPACK [51] ,3454.88,strong
16384,16384,16384,144,ScaLAPACK [51] ,3023.02,strong
16384,16384,16384,252,ScaLAPACK [51] ,2213,strong
16384,16384,16384,252,ScaLAPACK [51] ,2235.13,strong
16384,16384,16384,252,ScaLAPACK [51] ,2345.78,strong
16384,16384,16384,256,ScaLAPACK [51] ,2160,strong
16384,16384,16384,256,ScaLAPACK [51] ,2246.4,strong
16384,16384,16384,256,ScaLAPACK [51] ,1965.6,strong
16384,16384,16384,288,ScaLAPACK [51] ,1973,strong
16384,16384,16384,288,ScaLAPACK [51] ,1953.27,strong
16384,16384,16384,288,ScaLAPACK [51] ,2111.11,strong
16384,16384,16384,468,ScaLAPACK [51] ,1507,strong
16384,16384,16384,468,ScaLAPACK [51] ,1476.86,strong
16384,16384,16384,468,ScaLAPACK [51] ,1416.58,strong
16384,16384,16384,512,ScaLAPACK [51] ,1374,strong
16384,16384,16384,512,ScaLAPACK [51] ,1387.74,strong
16384,16384,16384,512,ScaLAPACK [51] ,1442.7,strong
16384,16384,16384,576,ScaLAPACK [51] ,1302,strong
16384,16384,16384,576,ScaLAPACK [51] ,1341.06,strong
16384,16384,16384,576,ScaLAPACK [51] ,1210.86,strong
16384,16384,16384,900,ScaLAPACK [51] ,1087,strong
16384,16384,16384,900,ScaLAPACK [51] ,1130.48,strong
16384,16384,16384,900,ScaLAPACK [51] ,1141.35,strong
16384,16384,16384,972,ScaLAPACK [51] ,1026,strong
16384,16384,16384,972,ScaLAPACK [51] ,1036.26,strong
16384,16384,16384,972,ScaLAPACK [51] ,1118.34,strong
16384,16384,16384,1024,ScaLAPACK [51] ,885,strong
16384,16384,16384,1024,ScaLAPACK [51] ,902.7,strong
16384,16384,16384,1024,ScaLAPACK [51] ,814.2,strong
16384,16384,16384,1152,ScaLAPACK [51] ,824,strong
16384,16384,16384,1152,ScaLAPACK [51] ,832.24,strong
16384,16384,16384,1152,ScaLAPACK [51] ,865.2,strong
16384,16384,16384,1332,ScaLAPACK [51] ,1338,strong
16384,16384,16384,1332,ScaLAPACK [51] ,1311.24,strong
16384,16384,16384,1332,ScaLAPACK [51] ,1404.9,strong
16384,16384,16384,2048,ScaLAPACK [51] ,746,strong
16384,16384,16384,2048,ScaLAPACK [51] ,768.38,strong
16384,16384,16384,2048,ScaLAPACK [51] ,701.24,strong
16384,16384,16384,2196,ScaLAPACK [51] ,1178,strong
16384,16384,16384,2196,ScaLAPACK [51] ,1130.88,strong
16384,16384,16384,2196,ScaLAPACK [51] ,1119.1,strong
16384,16384,16384,2304,ScaLAPACK [51] ,615,strong
16384,16384,16384,2304,ScaLAPACK [51] ,621.15,strong
16384,16384,16384,2304,ScaLAPACK [51] ,670.35,strong
16384,16384,16384,2916,ScaLAPACK [51] ,646,strong
16384,16384,16384,2916,ScaLAPACK [51] ,671.84,strong
16384,16384,16384,2916,ScaLAPACK [51] ,691.22,strong
16384,16384,16384,3348,ScaLAPACK [51] ,569,strong
16384,16384,16384,3348,ScaLAPACK [51] ,591.76,strong
16384,16384,16384,3348,ScaLAPACK [51] ,614.52,strong
16384,16384,16384,4096,ScaLAPACK [51] ,1825,strong
16384,16384,16384,4096,ScaLAPACK [51] ,1843.25,strong
16384,16384,16384,4096,ScaLAPACK [51] ,1697.25,strong
16384,16384,16384,4608,ScaLAPACK [51] ,453,strong
16384,16384,16384,4608,ScaLAPACK [51] ,434.88,strong
16384,16384,16384,4608,ScaLAPACK [51] ,480.18,strong
16384,16384,16384,7236,ScaLAPACK [51] ,557,strong
16384,16384,16384,7236,ScaLAPACK [51] ,568.14,strong
16384,16384,16384,7236,ScaLAPACK [51] ,584.85,strong
16384,16384,16384,7776,ScaLAPACK [51] ,415,strong
16384,16384,16384,7776,ScaLAPACK [51] ,419.15,strong
16384,16384,16384,7776,ScaLAPACK [51] ,377.65,strong
16384,16384,16384,8192,ScaLAPACK [51] ,1494,strong
16384,16384,16384,8192,ScaLAPACK [51] ,1553.76,strong
16384,16384,16384,8192,ScaLAPACK [51] ,1583.64,strong
16384,16384,16384,9216,ScaLAPACK [51] ,370,strong
16384,16384,16384,9216,ScaLAPACK [51] ,373.7,strong
16384,16384,16384,9216,ScaLAPACK [51] ,336.7,strong
16384,16384,16384,11988,ScaLAPACK [51] ,400,strong
16384,16384,16384,11988,ScaLAPACK [51] ,416.0,strong
16384,16384,16384,11988,ScaLAPACK [51] ,436.0,strong
16384,16384,16384,16384,ScaLAPACK [51] ,385,strong
16384,16384,16384,16384,ScaLAPACK [51] ,377.3,strong
16384,16384,16384,16384,ScaLAPACK [51] ,365.75,strong
16384,16384,16384,17028,ScaLAPACK [51] ,321,strong
16384,16384,16384,17028,ScaLAPACK [51] ,333.84,strong
16384,16384,16384,17028,ScaLAPACK [51] ,343.47,strong
16384,16384,16384,18432,ScaLAPACK [51] ,320,strong
16384,16384,16384,18432,ScaLAPACK [51] ,326.4,strong
16384,16384,16384,18432,ScaLAPACK [51] ,300.8,strong
16384,16384,16384,128,CTF [47] ,3107,strong
16384,16384,16384,128,CTF [47] ,3200.21,strong
16384,16384,16384,128,CTF [47] ,3355.56,strong
16384,16384,16384,144,CTF [47] ,2866,strong
16384,16384,16384,144,CTF [47] ,2808.68,strong
16384,16384,16384,144,CTF [47] ,3037.96,strong
16384,16384,16384,252,CTF [47] ,2591,strong
16384,16384,16384,252,CTF [47] ,2487.36,strong
16384,16384,16384,252,CTF [47] ,2461.45,strong
16384,16384,16384,256,CTF [47] ,1980,strong
16384,16384,16384,256,CTF [47] ,2039.4,strong
16384,16384,16384,256,CTF [47] ,1861.2,strong
16384,16384,16384,288,CTF [47] ,1977,strong
16384,16384,16384,288,CTF [47] ,2016.54,strong
16384,16384,16384,288,CTF [47] ,2095.62,strong
16384,16384,16384,468,CTF [47] ,2079,strong
16384,16384,16384,468,CTF [47] ,2099.79,strong
16384,16384,16384,468,CTF [47] ,1954.26,strong
16384,16384,16384,512,CTF [47] ,1489,strong
16384,16384,16384,512,CTF [47] ,1444.33,strong
16384,16384,16384,512,CTF [47] ,1563.45,strong
16384,16384,16384,576,CTF [47] ,1529,strong
16384,16384,16384,576,CTF [47] ,1498.42,strong
16384,16384,16384,576,CTF [47] ,1605.45,strong
16384,16384,16384,900,CTF [47] ,1512,strong
16384,16384,16384,900,CTF [47] ,1527.12,strong
16384,16384,16384,900,CTF [47] ,1421.28,strong
16384,16384,16384,972,CTF [47] ,1807,strong
16384,16384,16384,972,CTF [47] ,1770.86,strong
16384,16384,16384,972,CTF [47] ,1969.63,strong
16384,16384,16384,1024,CTF [47] ,1464,strong
16384,16384,16384,1024,CTF [47] ,1420.08,strong
16384,16384,16384,1024,CTF [47] ,1332.24,strong
16384,16384,16384,1152,CTF [47] ,1485,strong
16384,16384,16384,1152,CTF [47] ,1455.3,strong
16384,16384,16384,1152,CTF [47] ,1588.95,strong
16384,16384,16384,1332,CTF [47] ,2030,strong
16384,16384,16384,1332,CTF [47] ,2111.2,strong
16384,16384,16384,1332,CTF [47] ,2131.5,strong
16384,16384,16384,2048,CTF [47] ,1499,strong
16384,16384,16384,2048,CTF [47] ,1484.01,strong
16384,16384,16384,2048,CTF [47] ,1424.05,strong
16384,16384,16384,2196,CTF [47] ,1534,strong
16384,16384,16384,2196,CTF [47] ,1518.66,strong
16384,16384,16384,2196,CTF [47] ,1395.94,strong
16384,16384,16384,2304,CTF [47] ,1354,strong
16384,16384,16384,2304,CTF [47] ,1408.16,strong
16384,16384,16384,2304,CTF [47] ,1462.32,strong
16384,16384,16384,2916,CTF [47] ,1221,strong
16384,16384,16384,2916,CTF [47] ,1184.37,strong
16384,16384,16384,2916,CTF [47] ,1318.68,strong
16384,16384,16384,3348,CTF [47] ,2206,strong
16384,16384,16384,3348,CTF [47] ,2272.18,strong
16384,16384,16384,3348,CTF [47] ,2338.36,strong
16384,16384,16384,4096,CTF [47] ,1069,strong
16384,16384,16384,4096,CTF [47] ,1058.31,strong
16384,16384,16384,4096,CTF [47] ,1154.52,strong
16384,16384,16384,4608,CTF [47] ,1458,strong
16384,16384,16384,4608,CTF [47] ,1516.32,strong
16384,16384,16384,4608,CTF [47] ,1530.9,strong
16384,16384,16384,7236,CTF [47] ,870,strong
16384,16384,16384,7236,CTF [47] ,878.7,strong
16384,16384,16384,7236,CTF [47] ,922.2,strong
16384,16384,16384,7776,CTF [47] ,1085,strong
16384,16384,16384,7776,CTF [47] ,1117.55,strong
16384,16384,16384,7776,CTF [47] ,1150.1,strong
16384,16384,16384,8192,CTF [47] ,1182,strong
16384,16384,16384,8192,CTF [47] ,1229.28,strong
16384,16384,16384,8192,CTF [47] ,1241.1,strong
16384,16384,16384,9216,CTF [47] ,905,strong
16384,16384,16384,9216,CTF [47] ,914.05,strong
16384,16384,16384,9216,CTF [47] ,977.4,strong
16384,16384,16384,11988,CTF [47] ,688,strong
16384,16384,16384,11988,CTF [47] ,674.24,strong
16384,16384,16384,11988,CTF [47] ,749.92,strong
16384,16384,16384,16384,CTF [47] ,749,strong
16384,16384,16384,16384,CTF [47] ,756.49,strong
16384,16384,16384,16384,CTF [47] ,816.41,strong
16384,16384,16384,17028,CTF [47] ,533,strong
16384,16384,16384,17028,CTF [47] ,511.68,strong
16384,16384,16384,17028,CTF [47] ,485.03,strong
16384,16384,16384,18432,CTF [47] ,1038,strong
16384,16384,16384,18432,CTF [47] ,1069.14,strong
16384,16384,16384,18432,CTF [47] ,965.34,strong
16384,16384,16384,128,COSMA (this work) ,2584.95,strong
16384,16384,16384,128,COSMA (this work) ,2559.1005,strong
16384,16384,16384,128,COSMA (this work) ,2455.7025,strong
16384,16384,16384,144,COSMA (this work) ,2375.0,strong
16384,16384,16384,144,COSMA (this work) ,2470.0,strong
16384,16384,16384,144,COSMA (this work) ,2541.25,strong
16384,16384,16384,252,COSMA (this work) ,1555.1499999999999,strong
16384,16384,16384,252,COSMA (this work) ,1508.4954999999998,strong
16384,16384,16384,252,COSMA (this work) ,1695.1135,strong
16384,16384,16384,256,COSMA (this work) ,1511.4499999999998,strong
16384,16384,16384,256,COSMA (this work) ,1496.3355,strong
16384,16384,16384,256,COSMA (this work) ,1435.8774999999998,strong
16384,16384,16384,288,COSMA (this work) ,1336.6499999999999,strong
16384,16384,16384,288,COSMA (this work) ,1376.7495,strong
16384,16384,16384,288,COSMA (this work) ,1229.7179999999998,strong
16384,16384,16384,468,COSMA (this work) ,1098.2,strong
16384,16384,16384,468,COSMA (this work) ,1054.272,strong
16384,16384,16384,468,COSMA (this work) ,1175.074,strong
16384,16384,16384,512,COSMA (this work) ,807.5,strong
16384,16384,16384,512,COSMA (this work) ,799.425,strong
16384,16384,16384,512,COSMA (this work) ,847.875,strong
16384,16384,16384,576,COSMA (this work) ,773.3,strong
16384,16384,16384,576,COSMA (this work) ,788.766,strong
16384,16384,16384,576,COSMA (this work) ,719.169,strong
16384,16384,16384,900,COSMA (this work) ,592.8,strong
16384,16384,16384,900,COSMA (this work) ,575.016,strong
16384,16384,16384,900,COSMA (this work) ,646.1519999999999,strong
16384,16384,16384,972,COSMA (this work) ,513.9499999999999,strong
16384,16384,16384,972,COSMA (this work) ,503.67099999999994,strong
16384,16384,16384,972,COSMA (this work) ,483.11299999999994,strong
16384,16384,16384,1024,COSMA (this work) ,546.25,strong
16384,16384,16384,1024,COSMA (this work) ,540.7875,strong
16384,16384,16384,1024,COSMA (this work) ,589.95,strong
16384,16384,16384,1152,COSMA (this work) ,442.7,strong
16384,16384,16384,1152,COSMA (this work) ,424.99199999999996,strong
16384,16384,16384,1152,COSMA (this work) ,464.835,strong
16384,16384,16384,1332,COSMA (this work) ,464.54999999999995,strong
16384,16384,16384,1332,COSMA (this work) ,445.96799999999996,strong
16384,16384,16384,1332,COSMA (this work) ,432.03149999999994,strong
16384,16384,16384,2048,COSMA (this work) ,363.84999999999997,strong
16384,16384,16384,2048,COSMA (this work) ,356.573,strong
16384,16384,16384,2048,COSMA (this work) ,342.01899999999995,strong
16384,16384,16384,2196,COSMA (this work) ,399.0,strong
16384,16384,16384,2196,COSMA (this work) ,387.03,strong
16384,16384,16384,2196,COSMA (this work) ,422.94,strong
16384,16384,16384,2304,COSMA (this work) ,257.45,strong
16384,16384,16384,2304,COSMA (this work) ,247.152,strong
16384,16384,16384,2304,COSMA (this work) ,239.42849999999999,strong
16384,16384,16384,2916,COSMA (this work) ,245.1,strong
16384,16384,16384,2916,COSMA (this work) ,240.198,strong
16384,16384,16384,2916,COSMA (this work) ,223.041,strong
16384,16384,16384,3348,COSMA (this work) ,247.0,strong
16384,16384,16384,3348,COSMA (this work) ,251.94,strong
16384,16384,16384,3348,COSMA (this work) ,234.65,strong
16384,16384,16384,4096,COSMA (this work) ,178.6,strong
16384,16384,16384,4096,COSMA (this work) ,173.242,strong
16384,16384,16384,4096,COSMA (this work) ,194.67399999999998,strong
16384,16384,16384,4608,COSMA (this work) ,167.2,strong
16384,16384,16384,4608,COSMA (this work) ,165.528,strong
16384,16384,16384,4608,COSMA (this work) ,182.248,strong
16384,16384,16384,7236,COSMA (this work) ,170.04999999999998,strong
16384,16384,16384,7236,COSMA (this work) ,176.85199999999998,strong
16384,16384,16384,7236,COSMA (this work) ,181.9535,strong
16384,16384,16384,7776,COSMA (this work) ,125.39999999999999,strong
16384,16384,16384,7776,COSMA (this work) ,120.38399999999999,strong
16384,16384,16384,7776,COSMA (this work) ,117.87599999999999,strong
16384,16384,16384,8192,COSMA (this work) ,120.64999999999999,strong
16384,16384,16384,8192,COSMA (this work) ,123.06299999999999,strong
16384,16384,16384,8192,COSMA (this work) ,114.61749999999999,strong
16384,16384,16384,9216,COSMA (this work) ,95.94999999999999,strong
16384,16384,16384,9216,COSMA (this work) ,96.9095,strong
16384,16384,16384,9216,COSMA (this work) ,101.707,strong
16384,16384,16384,11988,COSMA (this work) ,114.0,strong
16384,16384,16384,11988,COSMA (this work) ,116.28,strong
16384,16384,16384,11988,COSMA (this work) ,124.26,strong
16384,16384,16384,16384,COSMA (this work) ,83.6,strong
16384,16384,16384,16384,COSMA (this work) ,86.10799999999999,strong
16384,16384,16384,16384,COSMA (this work) ,88.616,strong
16384,16384,16384,17028,COSMA (this work) ,85.5,strong
16384,16384,16384,17028,COSMA (this work) ,88.92,strong
16384,16384,16384,17028,COSMA (this work) ,92.34,strong
16384,16384,16384,18432,COSMA (this work) ,66.5,strong
16384,16384,16384,18432,COSMA (this work) ,68.495,strong
16384,16384,16384,18432,COSMA (this work) ,71.82,strong
16329,16329,16329,128,CARMA [21] ,3167.85,memory_p1
16329,16329,16329,128,CARMA [21] ,3199.5285,memory_p1
16329,16329,16329,128,CARMA [21] ,2977.779,memory_p1
23094,23094,23094,256,CARMA [21] ,11468.1,memory_p1
23094,23094,23094,256,CARMA [21] ,11353.419,memory_p1
23094,23094,23094,256,CARMA [21] ,12500.229000000001,memory_p1
31622,31622,31622,512,CARMA [21] ,6335.7,memory_p1
31622,31622,31622,512,CARMA [21] ,6589.128,memory_p1
31622,31622,31622,512,CARMA [21] ,6905.913,memory_p1
43969,43969,43969,1024,CARMA [21] ,29647.800000000003,memory_p1
